type,name,label::English,label::Hausa,label::Kanuri,hint::English,hint::Hausa,hint::Kanuri,required,choice_filter,appearance,relevant,constraint,constraint_message::English,constraint_message::Hausa,constraint_message::Kanuri,repeat_count,calculation,default
select_multiple who_latrine_cant_use,who_latrine_cant_use,Which members of your household don't have access or cannot use the latrine? ,"Akwai wanda bai da damar samu ko bai iya yin amfani da makewayi a cikin gidan nan ba (kamar namiji, mace, yara, dattawa:?)","Am fatoye ndaso so raksa ngaudi d? faida tain ba? (misallo kongaa, kamua, nduli, am kuraa?)",,,,yes,,,"not(selected(${adult_defecate},'open_space') or selected(${adult_defecate},'97') or selected(${adult_defecate},'98') or selected(${adult_defecate},'99') or selected(${child_defecate},'open_space') or selected(${child_defecate},'97') or selected(${child_defecate},'98') or selected(${child_defecate},'99'))","not(selected(.,'99') and count-selected(.) >1) and not(selected(.,'98') and count-selected(.) >1) ","If you chose no response or don't know, you should not choose any other answer. Please recheck","Ba za a iya zaben a'a ba, ko  ban sani ba, ko wata amsar daban","Monz? nyi ye karn?m ba "" ai ma ba"" , "" zawau ba"" , "" nong?nyi"" , kuru zawau gade karn?m ba. ",,,
text,who_latrine_cant_use_other,Other (specify):,Wa?ansu ,Gadegaps?naa,,,,yes,,,"selected(${who_latrine_cant_use}, '97')",,,,,,,
select_multiple latrine_nouse_reason,latrine_nouse_reason,What are the reasons those people cannot use the latrine?,Mi ya sa wadannan mutane ba su iya amfani da makewayi?,Ai yo do dalil s?kk? am saima d? ngaudi d? faida tain ba d??,,,,yes,,,"not(selected(${adult_defecate},'open_space') or selected(${adult_defecate},'97') or selected(${adult_defecate},'98') or selected(${adult_defecate},'99') or selected(${child_defecate},'open_space') or selected(${child_defecate},'97') or selected(${child_defecate},'98') or selected(${child_defecate},'99')) and not(selected(${who_latrine_cant_use},'nobody_issue') or selected(${who_latrine_cant_use},'98') or selected(${who_latrine_cant_use},'99'))","not(selected(.,'99') and count-selected(.) >1) and not(selected(.,'98') and count-selected(.) >1) ",,,,,,
text,latrine_nouse_reason_other,Other (specify):,Wa?ansu ,Gadegaps?naa,,,,yes,,,"selected(${latrine_nouse_reason}, '97')",,,,,,,
select_one gender_latrine,gender_latrine,Is the latrine seperated by gender or sex?,Ko an banbance makewayin tsakanin maza da mata?/,Ngaudi kamua ye-a kongaa ye-a yekkata wa?,,,,yes,,,"selected(${adult_defecate},'public_latrine') or selected(${child_defecate},'public_latrine')",,,,,,,
select_one yndk,gender_latrine_ok,"If YES, are you comfortable with the sex segregation of latrines?","IDAN EH NE, kun gamsu da banbance makewayin?","Aa, a ro wallono maa, ngaudi so d? kongaa ye-a kamua ye-a gade gade ro dio d? nyiro k?ji a?",,,,yes,,,"selected(${gender_latrine},'separated_diff_location') or selected(${gender_latrine},'separated_same_location')",,,,,,,
select_multiple mhm_material,mhm_material,What materials do you use for menstrual hygiene management?,Mi kuke amfani da shi wajen kula da al'adar ku ta wata wata?,Awi so faidat?min n?m kadau ba ro k?nda ro loktu haila is?na lan?,"Please ask a female member of the household to respond directly to these questions. If no female member is present or willing to answer, choose the option ""No response""","Please ask a female member of the household to respond directly to these questions. If no female member is present or willing to answer, choose the option ""No response""","Please ask a female member of the household to respond directly to these questions. If no female member is present or willing to answer, choose the option ""No response""",yes,,,"selected(${enum_female},'female')",,,,,,,
text,mhm_material_other,Other (specify):,Wa?ansu ,Gadegaps?naa,,,,yes,,,"selected(${mhm_material},'97')",,,,,,,
select_one yndk,mhm_quality,Is the quality good enough?,An gamsu da ingancin zabin da aka yi?,"Jawau kart?na d?, ai yeyi ng?la wa?",,,,yes,,,"selected(${enum_female},'yes') and not(selected(${mhm_material},'nothing') or selected(${mhm_material},'98') or selected(${mhm_material},'99') or selected(${mhm_material},'not_applicable'))",,,,,,,
select_one yndk,mhm_quantity,Is the quantity good enough?,Ko ana samun wadatuwar zabin da aka yi?,Jawau wa kart?na d? n?m ng?wunza s?t?na wa?,,,,yes,,,"selected(${enum_female},'yes') and not(selected(${mhm_material},'nothing') or selected(${mhm_material},'98') or selected(${mhm_material},'99') or selected(${mhm_material},'not_applicable'))",,,,,,,
select_multiple water_coping,coping_water,What do you do when you do not have enough water to meet your household needs?,Mi kuke yi idan ba ku samu wadataccen ruwan da kuke bukata ba a gida?,"Ai diwin sa nji fando ye nandia s?t?nyi maa? [Gade maa, mart?ne bayanne]",,,,yes,,,,"not(selected(.,'dont_have_problems') and count-selected(.) >1) and not(selected(.,'99') and count-selected(.) >1) and not(selected(.,'98') and count-selected(.) >1)",,,,,,
text,coping_water_other,Other (specify):,Wa?ansu ,Gadegaps?naa,,,,yes,,,"selected(${coping_water}, '97')",,,,,,,
select_one cashforwash,cashforwash,"If your household were to receive support to obtain WASH related non-food item kits, what method of support would you prefer?","Idan har gidan ku zai samu tallafin kyautar kayan wanki daban da na kayan abinci, wane kuka fi bukata?","Fann?mme bana WASH ye karea k?mbu ye-a lez?nyi ma sadin maa, bana jiliwi fand?mmiya raam?",,,,yes,,,,,,,,,,
text,cashforwash_other,Other (specify):,Wa?ansu ,Gadegaps?naa,,,,yes,,,"selected(${cashforwash}, '97')",,,,,,,
end group,wash,,,,,,,,,,,,,,,,,
begin group,health,,,,,,,,,,,,,,,,,
note,notehealth,"Next, we want to know about how your household uses and access to health services.",Yanzu za mu san yadda 'yan gidan ku ke samun damar kulawa da lafiya,"Daji, futu fann?md? cidawa n?lefabe faidatin-a s?wandin-ad? nonyeiya raayena ",,,,,,,,,,,,,,
select_one yndk,sick_2weeks,Has anyone in your household been sick in the past two weeks?,Ko akwai wani a gidan ku da ya yi rashin lafiya a cikin mako biyu da suka wuce?,Suro mag?wa indi koz?nayen kam laa fann?mmin dondiz?na wa?,,,,yes,,,,,,,,,,
select_multiple illness,sick_illness,What symptoms or illness did the person have?,wace irin rashin lafiya ta same shi?,Abi alamawa kundondi kamd?be?,,,,yes,,,"selected(${sick_2weeks}, 'yes')","not(selected(.,'99') and count-selected(.) >1) and not(selected(.,'98') and count-selected(.) >1) ",,,,,,
text,sick_illness_other,Other (specify):,Wa?ansu ,Gadegaps?naa,,,,yes,,,"selected(${sick_illness}, '97')",,,,,,,
integer,left_household,How many people in your household have left in the past year (since the end of Ramadan 2018)?,Mutum nawa ne a gidanku suka tafi a shekarar da ta wuce (tun karshen Ramadan 2018)?,Suro yalla fann?mben am ndawu saa koz?na d?n soluwu leza (ngawo k?ntag? ramadanbe saa 2018)?,,,,yes,,,,.<20,You entered an unrealistically high number. Please recheck.,Don Allah sake dubawa.,Mart?ne walt?ne wune,,,
integer,died_household,How many people in your household have died in the past year (since the end of Ramadan 2018)?,Mutum nawa ne a gidanku suka mutu a shekarar da ta wuce (tun karshen Ramadan 2018)?,Suro yalla fann?m ben am ndawu baza suro saa koz?na d?ben (ngawo k?ntag? ramadanbe saa 2018)?,,,,yes,,,,.<20,You entered an unrealistically high number. Please recheck.,Don Allah sake dubawa.,Mart?ne walt?ne wune,,,
select_multiple cause_death,cause_death,What was the cause or causes of the death?,Menene dalilin mutuwarsu?,Abi dalil bat?d?be wo?,,,,yes,,,${died_household}>0,,,,,,,
text,cause_death_other,Other (specify):,Wa?ansu ,Gadegaps?naa,,,,yes,,,"selected(${cause_death},'97')",,,,,,,
select_one treatment,wouldseek_treatment,"Where would be the first place you would go for treatment, if a household member was sick?",Ina ne wurin da kuke fara zuwa idan wani a gidan ku bashi da lafiya?,"Kam  fann?mbe dondiya, burwon ndaro kurwun dioro len?min?",,,,yes,,,,,,,,,,
text,wouldseek_treatment_other,Other (specify):,Wa?ansu ,Gadegaps?naa,,,,yes,,,"selected(${wouldseek_treatment}, '97')",,,,,,,
integer,cost_treatment,How much did it cost you / or would it cost you for a consultation at that place in NAIRA?,Naira nawa kuke kashewa ko za ku iya kashewa wajen neman shawarwari a wannan wuri?,NAIRA ndawu biyan?m duwo liita rumin?,"If free, please write 0","idan kyauta ne, rubuta 0","If free, please write 0",yes,,,"not(selected(${wouldseek_treatment}, 'wouldnt_seek')) or not(selected(${wouldseek_treatment}, '98')) or not(selected(${wouldseek_treatment}, '99'))",.<100000,"If more than 100,000 please just put 99,999","Idan ya kai sama da 100,000 kawai a sanya 99,999","100,000 koz?na maa mart?ne 99,999 ikke.",,,
integer,cost_treat_travel,"How much did it cost you / or would it cost you for to access the nearest health services in terms of transportation, lodging, or other non-drug expenses in NAIRA?",Naira nawa kuke kashewa ko za ku iya kashewa wajen zuwa asibiti kama tun daga sufuri da sauran abubwan da ba na magani ba,"NAIRA ndawu biyan?m duwo liitari shiro kar?ng?wo baro len?min, au bon?min au awowa gade kuwunyin nguro fand?min?","If free, please write 0","idan kyauta ne, rubuta 0","If free, please write 0",yes,,,"not(selected(${wouldseek_treatment}, 'wouldnt_seek')) or not(selected(${wouldseek_treatment}, '98')) or not(selected(${wouldseek_treatment}, '99'))",.<100000,"If more than 100,000 please just put 99,999","Idan ya kai sama da 100,000 kawai a sanya 99,999","100,000 koz?na maa mart?ne 99,999 ikke.",,,
select_one hf_distance,distance_hf,How far is the closest health facility to you?,Ya nisan cibiyar kula da lafiya take da ku?,Liitari shiro kar?ng?wo bad? abi n?mcint?nz??,,,,yes,,,,,,,,,,
select_one healthfacility,type_hf,What type of health facility is it?,Wane kalar wurin kiwon lafiya ne?,Liitari jilibi?,,,,yes,,,,,,,,,,
text,type_hf_other,Other (specify):,Wa?ansu ,Gadegaps?naa,,,,yes,,,"selected(${type_hf}, '97')",,,,,,,
select_multiple health_barrier,main_barrier_health,What are the barriers for your household in accessing health care?,Wadannae irin matsaloli ke fuskantar gidan ku wajen samun kiwon lafiya?,Dalilbiso fann?mga cidawa n?lefabe fandoro dapsain?,,,,yes,,,,"not(selected(.,'no_barrier') and count-selected(.)>1) and not(selected(., '98') and count-selected(.)>1) and not(selected(., '99') and count-selected(.)>1)",,,,,,
text,main_barrier_health_other,Other (specify):,Wa?ansu ,Gadegaps?naa,,,,yes,,,"selected(${main_barrier_health}, '97')",,,,,,,
select_one yndk,birth_lastyear,Has anyone in your household given birth in the last year?,Ko akwai wanda ta haihu  a gidan ku cikin shekarar da ta wuce,Saa koz?nad?n fann?mmin k?nzambi t?wand?na wa?,Since last Ramadan in 2018,Tun azimin bara na 2018,,yes,,,,,,,,,,
select_one birth_location,birth_where,Where did she give birth?,A ina ta haihu?,Ndaram cambo?,,,,yes,,,${birth_lastyear}='yes',,,,,,,
text,birth_where_other,Other (specify):,Wa?ansu ,Gadegaps?naa,,,,yes,,,${birth_where}='97',,,,,,,
select_one birth_attendant,birth_who,Who helped attend this birth?,Wa ya taimaka wajen karbar haihuwar?,Ndu banaz? suro s?mowu?,"A skilled birth attendant is either a doctor, nurse or midwife","Masani kan karbar haihuwa shi ne likita, ko jami'in jinya ko ungwanzoma","Cidama k?nzambi ye ke z?na d? shima dokta, nas, au suro mowo ma.",yes,,,${birth_lastyear}='yes',,,,,,,
text,birth_with_whom,Other (specify):,Wa?ansu ,Gadegaps?naa,,,,yes,,,${birth_who}='97',,,,,,,
select_one cashforhealth,cash_health,"If your household were to receive support for health, what method of support would you prefer?","Idan har gidan ku zai samu wani taimkon kiwon lafiya, wane taimako kuka fi bukata?","Fann?md? bana n?lefaye s?wandinga, futubin banad? m?rad?n?min?",,,,yes,,,,,,,,,,
text,cash_health_other,Other (specify):,Wa?ansu ,Gadegaps?naa,,,,yes,,,"selected(${cash_health}, '97')",,,,,,,
end group,health,,,,,,,,,,,,,,,,,
begin group,foodsec,,,,,,,,,,,,,,,,,
note,notefoodsec,"This next series of questions are about the food and fuel in your household. We want to know about the food available to you, your eating habits, and difficulties in getting food; and about the fuel you use for different purposes, how you get fuel and what difficulties you face with fuel. ","Yanzu kuma za mu je ga tamayoyin da suka shafi abinci, da mai a gidan ku. Muna so mu san abincin da kuke da shi, da dabi'ar cin abincin ku, da wahalar da kuke sha wajen samun abinci; sannan kuma mu san man da kuke amfani da shi fannoni daban-daban, yadda kuke samun sa, da kuma wahalwalun da kuke cin karo da su","Koroa fuuye anyi k?la k?mbu fann?mme-a konnu fuut? ye-a. Ande ye nonyeiya raayena k?mbu do fanduwi ma d?, hallando b?ri buoye so, kuru kaziia k?mbu fando ye so; kuru k?la awo shi lan konnu fuunuwi so dalilla gade gade ro, futu awo konnu fuut?ye d? fand?wi so kuru kazii do ruwin na awo konnu fuut?ye fando ye lan.",,,,,,,,,,,,,,
select_multiple food_source_main,food_source_main,What sources of food has your household used in the last month?,Wace hanyar samun abinci ne gidan ku ya yi amfani da ita a watan da ya gabata?,Ai so duluwwa k?mbu fando ye do faida t?win k?ntau fal koz?na allan?,,,,yes,,,,"not(selected(., '98') and count-selected(.)>1) and not(selected(., '99') and count-selected(.)>1)",,,,,,
text,food_source_main_other,Other (specify):,Wa?ansu ,Gadegaps?naa,,,,yes,,,"selected(${food_source_main}, '97')",,,,,,,
select_multiple food_barrier_main,food_barrier_main,What barriers does your household have currently in accessing enough food?,Wace irin matsala gidan ku ke fuskanta wajen samun isasshen abinci?,Ai so awo-a do yallan?mma k?mbu fando ro dapcin d??,,,,yes,,,,"not(selected(., 'none') and count-selected(.)>1) and not(selected(., '98') and count-selected(.)>1) and not(selected(., '99') and count-selected(.)>1)",,,,,,
text,food_barrier_main_other,Other (specify):,Wa?ansu ,Gadegaps?naa,,,,yes,,,"selected(${food_barrier_main}, '97')",,,,,,,
begin group,FCS,"Over the last 7 days, how many days did your household consume the following foods. DO READ EACH. If none, put 0","sama da kwanaki 7 da suka wuce, rana nawa ce kuka ci","Kauwa 7 koz?na d?n, kau ndawu ro juwum:",,,,,,field-list,,,,,,,,
integer,fcs_cereals,"CEREALS or TUBERS (maize, rice, sorghum, millet, pasta, bread, cassava, potatoes, sweet potatoes, plantains, or other cereals)","sama da kwanaki 7 da suka wuce, rana nawa ce kuka ci HATSI KO NAU'IN TSIRRAI?","Kauwa 7 koz?na d?n, kau ndawu ro juwum: ATAM SO AU GALISA SO",,,,yes,,,,.<8,Cannot be more than 7 days in the last week,Ba za a iya zama fiye da kwanaki 7 a cikin makon da ya gabata ba,Kauwa 7 d?ga kojim ba suro mao koz?na d? ben,,,
integer,fcs_pulses,"PULSES, NUTS & SEEDS (beans, peas, groundnuts, cashews)","sama da kwanaki 7 da suka wuce, rana nawa ce kuka ci kayan NAU'IN 'YA'YAN ITATUWA?","Kauwa 7 koz?na d?n, ndawu ro juwum: AWO NGALO SAM?NGE SO, KWALJI SO & KUS?NYI SO",,,,yes,,,,.<8,Cannot be more than 7 days in the last week,Ba za a iya zama fiye da kwanaki 7 a cikin makon da ya gabata ba,Kauwa 7 d?ga kojim ba suro mao koz?na d? ben,,,
integer,fcs_veg,"VEGETABLES (tomatoes, lettuce, cabbage, amaranth (allayafu), okra, sorrel)","sama da kwanaki 7 da suka wuce, rana nawa ce kuka ci KAYAN GANYAYE (tumatir, latas, kabej, kubewa ds)","Kauwa 7 koz?na d?n, ndawu ro juwum: KARE K3?I SO D?GA (t?mat?r so, alaifo so, kabeji so, lekir so, guwalto so, kares? so)",,,,yes,,,,.<8,Cannot be more than 7 days in the last week,Ba za a iya zama fiye da kwanaki 7 a cikin makon da ya gabata ba,Kauwa 7 d?ga kojim ba suro mao koz?na d? ben,,,
integer,fcs_fruit,"FRUITS (mangos, oranges, bananas, ogwalaba)","sama da kwanaki 7 da suka wuce, rana nawa ce kuka ci; KAYAN MARMARI (tuffa, lemu, ayaba)","Kauwa 7 koz?na d?n, ndawu ro juwum: TADA K?SKAYE SO (tuffa so, lemun so, ayawa so)",,,,yes,,,,.<8,Cannot be more than 7 days in the last week,Ba za a iya zama fiye da kwanaki 7 a cikin makon da ya gabata ba,Kauwa 7 d?ga kojim ba suro mao koz?na d? ben,,,
integer,fcs_meat,"MEAT OR FISH (red meat, chicken, including internal, fish, seafood, eggs)","sama da kwanaki 7 da suka wuce, rana nawa ce kuka ci; KIFI KO NAMA (jan nama, kaji, kayan ciki, kifi, da kayan ruwa, kwai)","Kau 7 koz?na d?n, ndawu ro juwum: DA AU B?NYI SO (da kime, kuyi, kare surobe kunten, b?nyi, da suro njiye, nguwulla)",,,,yes,,,,.<8,Cannot be more than 7 days in the last week,Ba za a iya zama fiye da kwanaki 7 a cikin makon da ya gabata ba,Kauwa 7 d?ga kojim ba suro mao koz?na d? ben,,,
integer,fcs_dairy,"MILK AND DAIRY PRODUCTS (milk, cheese, yoghurt, etc.)","sama da kwanaki 7 da suka wuce, rana nawa ce kuka sha MADARA DA KAYAN TA (madara, cikwi, yagot, ds)","Kauwa 7 koz?na d?n, kau ndawu ro juwum: CAM-a KURU KAREWA CAM LAN T?D?NA MA-A (cam so, cuku so, yogot so, gade gaps?na-a)",,,,yes,,,,.<8,Cannot be more than 7 days in the last week,Ba za a iya zama fiye da kwanaki 7 a cikin makon da ya gabata ba,Kauwa 7 d?ga kojim ba suro mao koz?na d? ben,,,
integer,fcs_oils,OIL AND FATS,"sama da kwanaki 7 da suka wuce, rana nawa ce kuka ci KAYAN MAI DA MATSKI?","Kauwa 7 koz?na d?n, kau ndawu ro juwum: K?NDAU SO KAIS? SO",,,,yes,,,,.<8,Cannot be more than 7 days in the last week,Ba za a iya zama fiye da kwanaki 7 a cikin makon da ya gabata ba,Kauwa 7 d?ga kojim ba suro mao koz?na d? ben,,,
integer,fcs_sweets,"SWEETS (sugar, honey, jam, cakes, candy, etc.)","sama da kwanaki 7 da suka wuce, rana nawa ce kuka ci; KAYAN ZAKI (suga, zuma, cake, jam, madara ds)","Kauwa 7 koz?na d?n, kau ndau ro juwum: AWOWA SHUWURRA SO (suwur, k?ma'an, tada k?skaye nyeyata so, kek so, kandi so, gade gaps?na so)",,,,yes,,,,.<8,Cannot be more than 7 days in the last week,Ba za a iya zama fiye da kwanaki 7 a cikin makon da ya gabata ba,Kauwa 7 d?ga kojim ba suro mao koz?na d? ben,,,
integer,fcs_spics,SPICES AND CONDIMENTS,"sama da kwanaki 7 da suka wuce, rana nawa ce kuka ci; kayan toye toye","Kauwa 7 koz?na d?n, kau ndawu ro juwum: NJITTA SO",,,,yes,,,,.<8,Cannot be more than 7 days in the last week,Ba za a iya zama fiye da kwanaki 7 a cikin makon da ya gabata ba,Kauwa 7 d?ga kojim ba suro mao koz?na d? ben,,,
end group,FCS,,,,,,,,,,,,,,,,,
begin group,rCSI,"In the past 7 days, how many days did you have to resort to the following coping strategies to cope with the lack of food? DO READ EACH. If none, put 0",sama da kwanaki 7 da suka wuce,"Suro kauwa 7 koz?na d? ben,",,,,,,field-list,,,,,,,,
integer,rcsi_lesspref,Rely on less preferrred and cheaper foods,"sama da kwanaki 7 da suka wuce, kun rika amfani da kayan abinci masu saukin sarrafawa da arha domin magance karancin abinci?","Suro kauwa 7 koz?na d? ben, ndawu ro k?mbu ng?lla ro dawart?nyi -a k?mbu butu-a lan napkam?",,,,yes,,,,.<8,Cannot be more than 7 days in the last week,Ba za a iya zama fiye da kwanaki 7 a cikin makon da ya gabata ba,Kauwa 7 d?ga kojim ba suro mao koz?na d? ben,,,
integer,rcsi_borrow,Borrow / rely on foods from friends or relatives,Ara a wajen dangi da abokan arziki,,,,,yes,,,,.<8,Cannot be more than 7 days in the last week,Ba za a iya zama fiye da kwanaki 7 a cikin makon da ya gabata ba,Kauwa 7 d?ga kojim ba suro mao koz?na d? ben,,,
integer,rcsi_limit,Limit portion size at mealtime,"sama da kwanaki 7 da suka wuce, rsau nawa ne kuka rage adadin lokutan cin abinci domin don magance matsalar abinci","Kauwa 7 koz?na d?n, ndawu ro k?mbu ganat? nanka ro k?mbu tuwin d?ga fuluwom?",,,,yes,,,,.<8,Cannot be more than 7 days in the last week,Ba za a iya zama fiye da kwanaki 7 a cikin makon da ya gabata ba,Kauwa 7 d?ga kojim ba suro mao koz?na d? ben,,,
integer,rcsi_children,Restrict consumption by adults in order for small children to eat,"A cikin kwanaki 7 da suka wuce, sau nawa ne kuka rage kason abincin da ake ba manya don yara su samu, saboda matsalar karancin abinci?","Kauwa 7 koz?na d?n, kau ndawu ro amwurawa ro b?ri dapt? sau nduli ro ti nanka ro sau k?mbu ganat?ye ro?",,,,yes,,,,.<8,Cannot be more than 7 days in the last week,Ba za a iya zama fiye da kwanaki 7 a cikin makon da ya gabata ba,Kauwa 7 d?ga kojim ba suro mao koz?na d? ben,,,
integer,rcsi_meals,Reduce number of meals eaten in a day,Rage lokutan cin abincin a yini,"Kauwa 7 koz?na d?n, kau ndawu ro loktu k?mbuye fuluwat? yim lan sau k?mbu ganat?ye ro?",,,,yes,,,,.<8,Cannot be more than 7 days in the last week,Ba za a iya zama fiye da kwanaki 7 a cikin makon da ya gabata ba,Kauwa 7 d?ga kojim ba suro mao koz?na d? ben,,,
end group,rCSI,,,,,,,,,,,,,,,,,
select_one yndk,market_access,Have you had physical access to a market in the last two weeks?,Ko kun samu damar zuwa kasuwa a cikin mako biyu da suka wuce?,K?la'amla lan kasuwu ro len?ma wa suro mau indi koz?naye d?n?,Physical access meaning opportunity to go to a market within last two weeks which has not been restrained by any restriction of movement - it does NOT mean if they have enough money to afford items on the market,wannan na nufin samun damar zuwa kasuwa a cikin makonnin biyu da suka wuce ba tare da wata dakatarwa ba ko hana yawo - ba wai yana magana ko suna da kudin zuwa kasuwa don sayen abun da suke so ba,K?la'amla lan let? d? maanan nz? duluwu fand?m kasuwu ro abbimaye dapcin ba ro let? - ad?ye WALZ3NYI kung?nan nza mbeji kasuwun kare coyin so nanka ro,yes,,,,,,,,,,
select_one cashforfood,cashforfood,"If your household were to receive support for food, what method of support would you prefer?","Idan gidan ku zai samu tallafin abinci, wani irin tallafi kuka fi bukata?","Fann?m d? bana k?mbuye suwandinno wallono a, duluwu banabe jilifi nyiye ra'am?",,,,yes,,,,,,,,,,
text,cashforfood_other,Other (specify):,Wa?ansu ,Gadegaps?naa,,,,yes,,,${cashforfood} = '97',,,,,,,
end group,foodsec,,,,,,,,,,,,,,,,,
begin group,safe_wg,,,,,,,,,,,,,,,,,
select_one yndk,safe_enough,Do you have sufficient access to firewood/fuel to meet your daily energy needs?,Kuna da isasshen damar samun itace/mai don samun makamashin da kuke bukata?,Duluwu n?m k?ska konnube au awo konnu fut?ye gade sambiso ro mbeji wa?,,,,yes,,,,,,,,,,
select_one safe_fuel_cook,safe_fuel_cook,What is the most commonly used fuel type for COOKING in your household?,Wace hanya ce kuka fi samun man girki a gidan ku?,Diwalfi adaatama konnu fut? ro suro fann?m ben t?gainno?,,,,yes,,,,,,,,,,
text,safe_fuel_cook_other,Other (specify):,Wa?ansu ,Gadegaps?naa,,,,yes,,,${safe_fuel_cook}='97',,,,,,,
select_one safe_fuel_source,safe_fuel_source,What is your primary means of obtaining firewood or whichever fuel source you primarily use?,Wace hanya ce ta farko da kuke samun itace ko abun da kuke amfani da shi na girki a gida ko siyarwa?,Duluwufi adaata men k?ska konnube fand?min au duluwufi men awo konnu shi lan fun?min d? fand?min?,,,,yes,,,,,,,,,,
text,safe_fuel_source_other,Other (specify):,Wa?ansu ,Gadegaps?naa,,,,yes,,,${safe_fuel_source}='97',,,,,,,
select_one yndk,safe_fuel_woodtrips,Does anyone in your household make trips to collect firewood for household use or for selling?,Akwai wani ne agidan wanda ya ke zuwa dauko itacen anfanin ku ko na sayarwa a gidan ku?,Ngalte yaye kam laa fandoye k?ska lor?m faidat? ro au lado ro lez?na wa?,,,,yes,,,"selected(${safe_fuel_source},'collect_community') or selected(${safe_fuel_source},'collect_outside')",,,,,,,
select_multiple safe_get_fuel_who,safe_get_fuel_who,Who usually collects firewood for the household?,Wane ne yake samar da itace ko yaushe a gidan?,Ndu fato d?n adaata lez? k?ska loroma wo?,,,,yes,,,"selected(${safe_fuel_woodtrips}, 'yes')",,,,,,,
text,safe_get_fuel_who_other,Other (specify):,Wa?ansu ,Gadegaps?naa,,,,yes,,,"selected(${safe_get_fuel_who}, '97')",,,,,,,
select_multiple safe_fuel_protection,safe_fuel_protection,Do you or the HH member collecting firewood or whichever fuel source you primarily use face any of those protection risks?,"Kai ko wani daga cikin 'yan gidan ku da suke samar da man girki, sun samu daya daga cikin wadannan kariya daga fadawa hadari?",Nyiye au kam laa fatoye k?ska au awo gade konnu futuye jilifi yayi loro lan kaz?yi (tajirwa) nz?tkawoye surin wa?,,,,yes,,,"selected(${safe_fuel_source},'collect_community') or selected(${safe_fuel_source},'collect_outside')","not(selected(., 'no_risk') and count-selected(.)>1) and not(selected(., '98') and count-selected(.)>1) and not(selected(., '99') and count-selected(.)>1)",,,,,,
text,safe_fuel_protection_other,Other (specify):,Wa?ansu ,Gadegaps?naa,,,,yes,,,"selected(${safe_fuel_protection},'97')",,,,,,,
select_multiple safe_coping_main,safe_coping_main,What things does your household do when there is not enough fuel for your household needs?,Mi gidan ku ke yi idan an samu karancin mai?,Abi fann?mben t?din sa awo shi lan konnu fun?min ba ro wallono ma?,,,,yes,,,,"not(selected(., 'nothing') and count-selected(.)>1) and not(selected(., '98') and count-selected(.)>1) and not(selected(., '99') and count-selected(.)>1)",,,,,,
text,safe_coping_main_other,Other (specify):,Wa?ansu ,Gadegaps?naa,,,,yes,,,"selected(${safe_coping_main}, '97')",,,,,,,
end group,safe_wg,,,,,,,,,,,,,,,,,
begin group,livelihoods,,,,,,,,,,,,,,,,,
select_multiple main_income,main_income,What are the main sources of income for the household?,Mine ne hanyar samun kudin ku?,Abi duluwu fandi fato d? ye wo?,Please select up to 3 options,Please select up to 3 options,Please select up to 3 options,yes,,,,"not(selected(., 'no_income') and count-selected(.)>1) and not(selected(., '98') and count-selected(.)>1) and not(selected(., '99') and count-selected(.)>1)",,,,,,
text,main_income_other,Other (specify):,Wa?ansu ,Gadegaps?naa,,,,yes,,,"selected(${main_income}, '97')",,,,,,,
select_one land_access_need,land_access_need,"During this last year, did you NEED TO access land for any of the following reasons?",A cikin shekarar da ta wuce ko ka samu gona saboda wadannan dalilai kamar haka?,"Saa koz?na d?n, s?di laa fand?ma wa dalil awowa anyiye ndaso yayi ye ro?",,,,yes,,,"selected(${main_income},'agriculture') or selected(${main_income},'livestock')",,,,,,,
text,land_access_need_other,Other (specify):,Wa?ansu ,Gadegaps?naa,,,,yes,,,"selected(${land_access_need}, '97')",,,,,,,
select_one land_access,land_access,Were you ABLE TO access land?,Ka samu gonar da kake so?,S?di m?rad?n? ma d? ro duluwu fand?ma wa?,,,,yes,,,${land_access_need}='crops' or ${land_access_need}='grazing' or ${land_access_need}='97',,,,,,,
select_multiple land_barrier_main,land_barrier_main,What barriers are there for your household in accessing enough land for your farming or herding needs?,Mi ya hana ku samun gonar da kuke bukata don noma kokiwo?,Kaz?yi jilifi so fann?mye surin na s?di bare nanka ro au s?nye nanka ro fando ben?,,,,yes,,,${land_access_need}='crops' or ${land_access_need}='grazing' or ${land_access_need}='97',"not(selected(., 'no_barrier') and count-selected(.)>1) and not(selected(., '98') and count-selected(.)>1) and not(selected(., '99') and count-selected(.)>1)",,,,,,
text,land_barrier_main_other,Other (specify):,Wa?ansu ,Gadegaps?naa,,Yi tambaya akan nawa ka/ki kashewa,,yes,,,"selected(${land_barrier_main}, '97')",,,,,,,
select_one agric_inputs,agric_inputs,"During this last year, did you access seeds and other agricultural inputs needed?","A cikin shekarar da ta wuce ko ka samu iri, da sauran kayan aikin gona da kuke bukata?","Saa koz?na d?n, kus?nyi nattoye so, awowa gade lamar bareye wuz?na so fand?ma wa?",,,,yes,,,"selected(${main_income},'agriculture') or selected(${main_income},'livestock')",,,,,,,
